Centroid X,Centroid Y,Transitions,Aspect Ratio
2029,239,62,5.703125
1466,298,82,8.211538461538462
1999,304,65,7.019230769230769
2471,278,22,4.9753086419753085
2581,249,196,3.246913580246914
2347,310,133,11.514285714285714
2601,308,66,7.514285714285714
131,378,151,3.172043010752688
482,396,32,2.838709677419355
188,443,194,4.836065573770492
409,438,280,4.327868852459017
756,356,73,5.779661016949152
983,355,52,6.898305084745763
850,427,118,3.5894736842105264
1249,405,96,4.28421052631579
529,707,8,2.2244897959183674
552,703,2,0.05714285714285714
539,734,16,9.39655172413793
552,743,13,0.2413793103448276
648,589,61,0.9103448275862069
769,548,186,4.248275862068965
618,707,332,0.8354430379746836
713,653,67,3.8987341772151898
1438,333,32,15.68421052631579
1757,335,14,14.157894736842104
1456,350,55,22.923076923076923
1726,349,20,20.692307692307693
2077,331,30,26.285714285714285
2495,330,110,37.357142857142854
2064,346,143,20.444444444444443
2414,344,189,29.055555555555557
1438,366,84,12.217391304347826
1724,367,112,12.434782608695652
1459,399,214,0.6990049751243781
1766,387,165,0.7114427860696517
2010,360,23,24.333333333333332
2292,360,32,74.66666666666667
1986,371,118,0.5264423076923077
2356,368,55,1.6153846153846154
402,135,55,2.8523489932885906
485,112,122,1.610738255033557
335,184,135,6.538461538461538
460,175,85,3.6923076923076925
851,82,0,2.2606060606060607
1133,133,210,1.8060606060606061
859,197,54,7.612244897959184
1084,186,111,6.081632653061225
272,249,133,6.508771929824562
549,243,62,5.157894736842105
187,290,136,8.627906976744185
620,293,75,6.837209302325581
702,229,77,6.363636363636363
989,231,87,13.969696969696969
704,266,46,3.1343283582089554
924,271,119,6.880597014925373
1663,95,25,3.303921568627451
1738,56,191,3.3137254901960786
1611,146,110,3.5473684210526315
1680,107,19,3.557894736842105
2281,123,210,2.5359477124183005
2819,147,30,3.281045751633987
2202,175,138,8.818181818181818
2787,175,51,11.409090909090908
1445,257,0,1.803030303030303
1501,231,84,8.424242424242424
1400,292,62,2.3333333333333335
1468,283,32,10.901960784313726
2137,226,144,6.322033898305085
2741,228,72,8.76271186440678
2070,282,87,6.431034482758621
2691,285,96,8.913793103448276
176,343,165,6.0
514,343,90,5.69811320754717
176,383,241,5.888888888888889
433,390,289,5.592592592592593
900,347,66,8.314814814814815
1295,346,60,4.944444444444445
880,395,130,8.471698113207546
1243,391,156,5.037735849056604
565,585,12,3.158469945355191
598,550,41,0.22950819672131148
557,631,43,9.796610169491526
598,641,41,0.711864406779661
689,482,79,1.2826086956521738
812,457,175,6.5
672,585,151,0.7866666666666666
763,535,59,3.986666666666667
1424,326,87,14.827586206896552
1963,330,54,10.551724137931034
1544,354,41,21.5
1897,353,65,15.3
2291,333,35,13.89655172413793
2627,328,106,14.689655172413794
2257,353,114,20.15
2636,352,116,21.3
1537,374,70,14.272727272727273
1824,374,139,19.181818181818183
1471,397,222,1.129496402877698
1783,394,214,1.5179856115107915
2180,371,98,14.352941176470589
2499,370,182,34.411764705882355
2181,390,150,0.8621908127208481
2446,399,124,2.067137809187279
340,88,68,3.5728155339805827
416,70,85,2.8349514563106797
277,131,85,6.237288135593221
426,133,30,4.9491525423728815
871,62,0,3.403225806451613
1192,100,153,2.3870967741935485
724,146,19,11.105263157894736
1144,142,98,7.7894736842105265
267,192,92,7.509803921568627
572,187,48,5.431372549019608
214,234,162,8.148936170212766
601,235,47,5.8936170212765955
672,173,32,10.875
1091,178,94,11.5625
994,242,11,5.2727272727272725
1030,209,70,5.606060606060606
1784,67,84,4.631578947368421
1840,29,50,3.6315789473684212
1708,132,110,6.197183098591549
2145,151,9,4.859154929577465
2230,82,85,3.0825688073394497
2731,82,93,2.669724770642202
2182,126,52,5.894736842105263
2670,140,82,5.105263157894737
1630,191,112,8.490196078431373
2104,190,58,6.901960784313726
1563,238,99,10.069767441860465
2072,243,54,8.186046511627907
2561,209,3,7.315789473684211
